"Date","Visitor.Team","Visitor.Rushing.Yards","Visitor.Rushing.Attempts","Visitor.Passing.Yards","Visitor.Passing.Attempts","Visitor.Passing.Completions","Visitor.Penalties","Visitor.Penalty.Yards","Visitor.Fumbles.Lost","Visitor.Interceptions.Thrown","Visitor.1st.Downs","Visitor.3rd.Down.Attempts","Visitor.3rd.Down.Conversions","Visitor.4th.Down.Attempts","Visitor.4th.Down.conversions","Visitor.Time.of.Possession","Visitor.Score","Home.Team","Home.Rushing.Yards","Home.Rushing.Attempts","Home.Passing.Yards","Home.Passing.Attempts","Home.Passing.Completions","Home.Penalties","Home.Penalty.Yards","Home.Fumbles.Lost","Home.Interceptions.Thrown","Home.1st.Downs","Home.3rd.Down.Attempts","Home.3rd.Down.Conversions","Home.4th.Down.Attempts","Home.4th.Down.conversions","Home.Time.of.Possession","Home.Score"
"11/23/2016","Akron",95,32,131,27,12,7,67,0,0,14,15,5,2,1,1647,3,"Ohio",130,36,169,25,14,8,66,1,0,17,14,6,2,0,1953,9
"11/23/2016","Ball State",247,40,188,34,22,4,34,0,1,26,15,8,0,0,1741,20,"Miami (OH)",62,25,380,35,26,4,25,0,0,20,14,8,1,0,1859,21
"11/23/2016","Central Michigan",127,26,256,35,21,2,10,0,1,19,14,6,1,1,1649,21,"Eastern Michigan",183,32,355,37,26,7,75,0,1,23,14,4,2,2,1951,26
"11/25/2016","Arkansas",155,46,348,39,24,8,55,0,2,27,17,9,3,1,2422,24,"Missouri",131,30,268,26,16,2,10,1,0,15,13,6,1,1,1178,28
"11/25/2016","Baylor",257,53,377,47,30,11,78,3,1,33,17,5,9,4,1797,35,"Texas Tech",80,32,586,47,30,15,107,0,0,24,17,8,1,0,1803,54
"11/25/2016","Boise State",84,25,316,26,9,3,27,1,0,12,12,1,2,1,1113,20,"Air Force",314,77,45,6,3,3,30,0,1,25,18,8,1,1,2487,27
"11/25/2016","Buffalo",67,32,334,36,20,2,15,2,0,20,14,7,1,0,1443,19,"Bowling Green",346,67,146,21,12,0,0,2,0,27,15,8,4,1,2157,27
"11/25/2016","Houston",137,32,487,69,47,9,69,1,1,33,21,11,3,3,1981,44,"Memphis",146,34,409,45,30,10,94,0,0,28,16,8,2,2,1619,48
"11/25/2016","LSU",298,46,324,28,20,5,29,0,0,28,13,7,0,0,2126,54,"Texas A&M",188,33,284,38,17,6,55,1,0,19,16,7,2,1,1474,39
"11/25/2016","Louisiana Tech",0,16,246,39,22,6,45,0,3,16,8,2,1,0,1298,24,"Southern Miss",84,44,342,33,29,10,90,1,0,26,14,6,3,2,2302,39
"11/25/2016","Nebraska",90,31,127,37,14,8,57,0,0,17,18,5,2,2,1612,10,"Iowa",264,47,144,15,10,7,70,0,0,13,13,3,3,3,1988,40
"11/25/2016","North Carolina State",259,53,233,24,14,5,59,1,0,24,16,8,1,1,2101,28,"North Carolina",133,26,280,39,23,7,50,1,0,20,14,6,3,1,1499,21
"11/25/2016","Northern Illinois",215,71,258,23,13,4,45,1,1,27,17,7,1,1,2122,31,"Kent State",188,29,203,37,14,6,57,0,1,15,16,4,0,0,1478,21
"11/25/2016","TCU",309,46,178,30,16,7,68,0,1,25,11,1,0,0,1786,31,"Texas",189,46,218,39,16,6,42,0,1,19,19,4,3,0,1814,9
"11/25/2016","Toledo",227,30,229,24,13,9,71,1,2,20,9,3,1,0,1233,35,"Western Michigan",249,48,196,25,19,7,80,0,0,25,15,10,0,0,2367,55
"11/25/2016","Washington",168,35,342,31,22,9,75,1,0,22,11,6,0,0,1932,45,"Washington State",65,24,269,50,33,5,44,1,3,18,15,7,4,1,1668,17
"11/26/2016","Appalachian State",384,48,220,28,20,6,53,1,0,22,16,6,5,3,2262,37,"New Mexico State",148,28,92,27,12,2,15,0,2,10,12,2,2,0,1338,7
"11/26/2016","Arizona State",120,38,372,60,43,8,61,1,1,31,21,11,6,1,2156,35,"Arizona",512,48,77,8,3,8,101,1,0,19,8,2,1,0,1444,56
"11/26/2016","Arkansas State",128,33,393,57,35,6,58,0,1,28,17,6,4,1,2003,19,"Louisiana-Lafayette",50,33,242,24,13,5,50,0,0,15,11,2,1,0,1597,24
"11/26/2016","Auburn",66,26,116,19,7,4,19,0,1,7,12,2,1,0,1171,12,"Alabama",203,44,298,37,28,4,28,0,2,26,16,8,2,2,2429,30
"11/26/2016","Boston College",93,39,74,23,10,8,55,1,0,10,17,4,1,1,1845,17,"Wake Forest",150,35,137,33,16,3,35,1,2,15,15,2,4,1,1755,14
"11/26/2016","UCF",64,35,338,47,28,5,30,1,2,22,17,5,3,1,1663,31,"South Florida",351,48,152,26,17,6,50,1,0,20,16,4,1,1,1937,48
"11/26/2016","Cincinnati",134,33,400,38,21,5,43,0,0,18,16,4,2,1,1524,37,"Tulsa",306,65,305,39,25,3,37,1,2,35,14,6,1,0,2076,40
"11/26/2016","Duke",79,26,316,50,34,7,51,0,0,22,15,7,1,0,1860,21,"Miami (FL)",172,30,396,35,22,8,69,0,0,24,12,4,1,1,1740,40
"11/26/2016","Florida Atlantic",299,53,290,35,26,1,10,0,4,35,14,8,2,2,1997,56,"Middle Tennessee",495,57,262,16,11,3,22,0,0,28,10,6,1,0,1603,77
"11/26/2016","Florida International",97,36,135,23,11,3,42,0,1,16,13,3,2,2,1768,28,"Old Dominion",312,51,209,25,15,3,24,2,1,27,13,7,3,3,1832,42
"11/26/2016","Georgia Tech",226,42,164,10,6,4,45,1,1,15,8,3,1,0,1527,28,"Georgia",263,42,139,28,14,2,15,0,2,22,15,8,1,1,2073,27
"11/26/2016","Illinois",57,26,377,54,28,6,60,3,1,25,15,4,3,2,1828,21,"Northwestern",278,49,121,20,13,5,50,1,0,22,14,6,1,0,1772,42
"11/26/2016","Kansas",101,27,302,44,24,9,85,1,2,18,14,4,2,1,1417,19,"Kansas State",342,58,99,11,6,5,60,1,0,25,14,6,1,0,2183,34
"11/26/2016","Kentucky",229,43,352,29,17,4,41,1,1,24,18,10,1,1,1950,41,"Louisville",280,46,281,25,16,4,48,1,3,26,12,7,1,1,1650,38
"11/26/2016","Michigan State",109,42,234,46,25,4,23,1,0,26,20,9,2,0,2064,12,"Penn State",77,33,386,24,18,1,15,0,0,18,10,4,0,0,1536,45
"11/26/2016","Michigan",91,43,219,36,23,7,59,1,2,17,19,9,1,1,1873,27,"Ohio State",206,50,124,32,15,2,6,0,1,24,16,3,3,2,1727,30
"11/26/2016","Minnesota",128,38,158,26,9,3,26,0,4,18,14,3,0,0,1621,17,"Wisconsin",210,47,152,22,13,3,35,1,0,19,12,4,0,0,1979,31
"11/26/2016","Mississippi State",457,47,109,17,8,6,55,1,0,23,13,8,1,1,1717,55,"Ole Miss",208,38,320,48,27,3,20,0,2,31,15,5,4,1,1883,20
"11/26/2016","Nevada",318,49,193,23,15,1,14,0,0,27,13,8,0,0,2262,45,"UNLV",182,34,121,22,9,1,3,0,1,14,12,1,2,1,1338,10
"11/26/2016","North Texas",107,27,197,42,23,3,35,0,0,21,15,4,3,2,1677,24,"UTEP",384,40,171,18,12,3,36,0,0,19,13,10,0,0,1923,52
"11/26/2016","Notre Dame",154,37,254,39,21,6,54,1,1,23,17,5,2,2,1737,27,"USC",207,38,205,30,19,7,65,1,0,23,12,5,0,0,1863,45
"11/26/2016","Oregon",171,30,213,29,17,6,75,1,0,21,10,3,2,1,1205,24,"Oregon State",310,53,101,20,13,7,65,1,0,25,12,7,0,0,2395,34
"11/26/2016","Purdue",42,34,225,45,24,5,51,1,2,20,19,9,3,1,1901,24,"Indiana",152,54,117,22,11,9,70,0,4,17,16,8,3,1,1699,26
"11/26/2016","Rutgers",147,40,203,40,22,3,25,1,0,22,18,7,3,1,1789,13,"Maryland",318,45,96,16,9,9,60,0,0,17,13,4,2,1,1811,31
"11/26/2016","San Jose State",211,48,111,25,15,3,12,1,1,20,15,6,1,0,1999,16,"Fresno State",96,41,149,19,11,2,30,1,0,12,14,5,2,0,1601,14
"11/26/2016","South Alabama",143,35,326,46,25,10,73,0,2,25,17,8,2,1,1742,31,"Idaho",176,35,231,34,17,4,45,0,3,27,10,6,0,0,1858,38
"11/26/2016","Syracuse",228,45,440,61,43,7,50,0,1,38,20,9,4,4,2142,61,"Pittsburgh",393,40,251,19,9,7,64,1,1,20,11,7,0,0,1458,76
"11/26/2016","Troy",154,42,237,37,24,2,15,0,0,25,16,5,3,3,1964,40,"Texas State",109,39,147,29,12,8,82,0,2,15,16,6,2,0,1636,7
"11/26/2016","Tulane",255,56,166,19,11,5,40,0,1,17,17,7,2,2,2360,38,"Connecticut",184,24,124,31,15,1,3,2,2,13,13,4,1,0,1240,13
"11/26/2016","Navy",496,48,104,9,5,4,50,1,0,23,8,7,0,0,1515,75,"SMU",96,37,331,46,31,5,40,0,2,27,19,12,2,0,2085,31
"11/26/2016","Virginia",108,31,139,36,13,4,31,1,2,14,16,3,1,1,1638,10,"Virginia Tech",289,51,290,30,18,3,35,2,0,29,15,8,1,1,1962,52
"11/26/2016","West Virginia",272,51,341,23,13,8,70,0,0,25,10,3,1,1,1696,49,"Iowa State",190,34,371,44,23,7,85,3,1,21,15,4,2,1,1904,19
"11/27/2016","UCLA",84,24,176,30,12,11,95,1,1,11,13,3,0,0,1071,10,"California",195,54,301,48,32,2,25,0,0,34,19,6,3,3,2529,36
"11/27/2016","Colorado State",291,46,216,16,11,6,65,0,0,23,12,8,0,0,1929,63,"San Diego State",194,39,183,19,11,6,50,1,1,16,12,5,1,0,1671,31
"11/27/2016","East Carolina",42,27,183,34,21,4,33,1,0,13,18,10,0,0,1625,10,"Temple",256,46,158,20,12,0,0,0,0,23,11,6,1,1,1975,37
"11/27/2016","Florida",58,29,149,35,19,4,44,2,0,14,12,0,3,2,1679,13,"Florida State",249,40,138,26,15,3,35,2,1,18,17,11,0,0,1921,31
"11/27/2016","Massachusetts",117,34,342,38,24,9,85,1,0,25,13,3,3,2,1746,40,"Hawaii",168,33,311,31,22,12,101,1,0,23,13,3,4,4,1854,46
"11/27/2016","Rice",167,39,124,48,15,5,35,0,0,21,20,5,5,4,1660,17,"Stanford",373,43,161,18,12,8,59,0,0,19,13,6,1,1,1940,41
"11/27/2016","South Carolina",111,29,107,29,14,5,54,0,1,14,13,4,2,0,1546,7,"Clemson",250,54,372,35,29,7,75,0,1,40,15,10,2,2,2054,56
"11/27/2016","Tennessee",176,33,340,34,31,4,35,2,0,27,11,5,1,0,1709,34,"Vanderbilt",192,38,416,35,21,4,30,0,1,27,14,8,1,0,1891,45
"11/27/2016","Utah State",97,28,103,23,12,11,94,1,1,11,13,3,1,0,1392,10,"BYU",249,54,106,22,11,8,68,0,2,26,14,6,2,2,2208,28
"11/27/2016","Utah",179,41,160,40,13,3,36,2,2,15,21,6,4,2,1852,22,"Colorado",108,38,270,44,23,0,0,2,0,18,22,9,0,0,1748,27
"11/27/2016","Western Kentucky",229,30,233,31,16,6,80,0,0,27,9,3,1,1,1240,60,"Marshall",87,39,143,35,19,11,90,0,2,18,18,8,3,1,2360,6
"11/27/2016","Wyoming",201,45,248,28,18,4,44,1,0,25,13,7,0,0,2013,35,"New Mexico",568,46,122,5,4,6,52,1,0,21,9,7,0,0,1587,56
"11/27/2016","Charlotte",8,19,229,44,15,13,116,0,0,10,18,6,3,0,1299,14,"UTSA",106,45,414,40,23,10,95,1,0,25,18,7,3,1,2301,33
