"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Wins.Over","Rank"
"Air Force",2.8972528290663,5,0.579450565813261,147,166,104,0.75179424700563,0.24820575299437,0.861718405961848,41
"Akron",3.89331956759244,6,0.648886594598741,175,226,201,0.569015443160655,0.430984556839345,-0.479226908628512,90
"Alabama",2.72203440116273,6,0.453672400193789,76,269,95,0.921779749267638,0.0782202507323625,2.80864409444309,3
"Appalachian State",1.79629855457596,5,0.359259710915192,39,116,113,0.515519918427233,0.484480081572767,0.781301037560208,45
"Arizona",2.61640354457531,7,0.37377193493933,46,193,228,0.402520633100488,0.597479366899512,0.201240887128104,70
"Arizona State",2.94317365202495,6,0.490528942004158,105,238,198,0.60732663686613,0.39267336313387,0.700786169171833,50
"Arkansas",2.73501588421176,6,0.455835980701959,77,210,165,0.639121692379551,0.360878307620449,1.09971427006555,33
"Arkansas State",2.0563571264116,5,0.41127142528232,60,94,170,0.197145152637586,0.802854847362414,-1.07063136322367,107
"Army",3.71681825354694,5,0.743363650709388,195,151,77,0.831477415472026,0.168522584527974,0.44056882381319,60
"Auburn",2.32607834980148,6,0.387679724966914,50,194,96,0.841217996508651,0.158782003491349,2.72122962925042,4
"Ball State",4.13941340099261,6,0.689902233498768,184,168,147,0.578463577852174,0.421536422147826,-0.668631933879565,98
"Baylor",3.57397322222866,5,0.714794644445732,188,213,96,0.868613764512832,0.131386235487168,0.769095600335501,46
"Boise State",2.76266729846612,5,0.552533459693223,133,184,93,0.834399901207088,0.165600098792912,1.40933220756933,26
"Boston College",3.36416258646077,6,0.560693764410128,138,127,142,0.434236524124238,0.565763475875762,-0.758743441715343,100
"Bowling Green",2.3567336638892,6,0.392788943981533,54,109,279,0.0973099994288424,0.902690000571158,-1.77287366731614,120
"Buffalo",3.19223599377388,5,0.638447198754776,173,76,159,0.148114697093325,0.851885302906675,-2.45166250830726,126
"BYU",2.0348696172704,6,0.339144936211733,35,169,155,0.551057026248223,0.448942973751777,1.27147254021894,28
"California",2.64095712274855,6,0.440159520458091,72,254,240,0.53354154096307,0.46645845903693,0.560292123029873,55
"Central Michigan",3.1384607622237,6,0.523076793703951,119,192,170,0.57160970391867,0.428390296081329,0.291197461288319,66
"Charlotte",3.26397059305108,6,0.543995098841846,127,145,244,0.225581707539978,0.774418292460022,-1.91048034781121,122
"Cincinnati",3.30181824861788,6,0.550303041436314,129,138,152,0.442997500240853,0.557002499759147,-0.643833247172764,97
"Clemson",2.31635657226274,6,0.386059428710457,49,232,90,0.904150679939011,0.0958493200609885,3.10854750737132,2
"Colorado",2.79252264722313,6,0.465420441203855,82,233,124,0.816811672931676,0.183188327068323,2.10834739036693,12
"Colorado State",3.07745459460991,6,0.512909099101651,112,149,172,0.415758669290653,0.584241330709347,-0.582902578865989,93
"Connecticut",2.96341239164872,6,0.493902065274787,107,119,141,0.400822724310572,0.599177275689428,-0.55847604578529,92
"Duke",2.92640401354689,6,0.487734002257816,100,147,129,0.576780258611787,0.423219741388213,0.534277538123827,57
"East Carolina",2.61750670161928,6,0.436251116936547,68,168,196,0.409668218560469,0.590331781439531,-0.159497390256472,82
"Eastern Michigan",3.59939511051309,6,0.599899185085515,157,194,178,0.550823078871035,0.449176921128965,-0.294456637286882,87
"Florida",2.82344546772148,5,0.564689093544297,141,142,58,0.893028895497498,0.106971104502502,1.64169900976601,17
"Florida Atlantic",3.44977814963436,6,0.574963024939061,145,136,223,0.236492758869277,0.763507241130723,-2.0308215964187,123
"Florida International",3.55454295688741,6,0.592423826147902,154,122,201,0.234458871635858,0.765541128364142,-2.14778972707226,125
"Florida State",1.99041893795727,6,0.331736489659544,32,227,196,0.586132451510724,0.413867548489276,1.52637577110708,22
"Fresno State",3.15610751575884,6,0.52601791929314,121,141,218,0.262562467338953,0.737437532661047,-1.58073271172512,116
"Georgia",2.46471537711375,6,0.410785896185625,59,160,168,0.471123995454395,0.528876004545605,0.362028595612622,64
"Georgia Southern",3.1176185877679,5,0.623523717553579,167,158,106,0.720309949090535,0.279690050909465,0.48393115768478,59
"Georgia State",2.0373569908523,5,0.407471398170461,58,96,140,0.290246466403799,0.709753533596201,-0.586124658833308,94
"Georgia Tech",2.50654797484395,6,0.417757995807325,63,152,129,0.596003767532996,0.403996232467004,1.06947463035403,35
"Hawaii",4.42232050357355,7,0.631760071939079,170,213,248,0.410823117965053,0.589176882034947,-1.54655867781818,113
"Houston",3.59373202023108,6,0.598955336705181,156,261,102,0.902624131374488,0.0973758686255121,1.82201276801584,13
"Idaho",2.40466942048673,6,0.400778236747789,57,120,227,0.18082380201875,0.81917619798125,-1.31972660837424,111
"Illinois",2.35828132032978,5,0.471656264065956,87,132,150,0.42483280266477,0.57516719733523,-0.234117307005932,84
"Indiana",2.0771646317834,5,0.41543292635668,62,133,125,0.536689902112264,0.463310097887736,0.606284878777917,53
"Iowa",3.09789580302894,6,0.51631596717149,114,167,99,0.775426698146554,0.224573301853446,1.55466438585039,21
"Iowa State",2.33978097937669,6,0.389963496562781,52,160,201,0.368031576474887,0.631968423525113,-0.131591520527368,80
"Kansas",2.41538650381532,5,0.483077300763064,95,125,165,0.341191900444683,0.658808099555318,-0.709427001591908,99
"Kansas State",2.62283351344399,5,0.524566702688798,120,171,88,0.828417688301143,0.171582311698857,1.51925492806172,23
"Kent State",3.30286674215078,6,0.550477790358464,130,147,178,0.388528508937353,0.611471491062646,-0.971695688526663,104
"Kentucky",3.04712844524436,6,0.50785474087406,109,147,188,0.358232879425294,0.641767120574706,-0.897731168692596,103
"Louisiana-Lafayette",2.79567729188711,5,0.559135458377422,137,138,168,0.385515241276514,0.614484758723486,-0.868101085504543,102
"Louisiana-Monroe",2.71224493563035,5,0.542448987126071,126,114,195,0.218877695597697,0.781122304402303,-1.61785645764187,119
"Louisiana Tech",3.70196973726826,6,0.616994956211376,163,235,201,0.591552013529427,0.408447986470573,-0.152657656091695,81
"Louisville",2.76551718131146,5,0.553103436262292,134,290,132,0.865922477855923,0.134077522144077,1.56409520796816,20
"LSU",2.29375911521584,5,0.458751823043169,79,126,74,0.779259077231795,0.220740922768205,1.60253627094313,19
"Marshall",2.64906046808589,5,0.529812093617178,124,176,205,0.410599753975335,0.589400246024665,-0.596061698209219,95
"Maryland",3.05504355965487,5,0.611008711930975,161,187,96,0.829235985770579,0.170764014229421,1.09113636919802,34
"Massachusetts",2.76846398334162,6,0.461410663890271,81,110,177,0.244652993895292,0.755347006104708,-1.30054601996987,109
"Memphis",3.23735187519264,5,0.647470375038527,174,217,102,0.856825628300898,0.143174371699102,1.04677626631185,36
"Miami (FL)",2.58637565969252,5,0.517275131938504,115,207,64,0.941694837616332,0.0583051623836682,2.12209852838914,11
"Miami (OH)",2.84972976336435,6,0.474954960560725,90,102,176,0.215368865951404,0.784631134048596,-1.55751656765592,114
"Michigan",2.19300317573658,6,0.36550052928943,43,300,62,0.976721149968759,0.0232788500312412,3.66732372407597,1
"Michigan State",2.40591762790779,5,0.481183525581557,94,105,126,0.39362448385534,0.60637551614466,-0.437795208631086,89
"Middle Tennessee",3.60405630280217,5,0.720811260560435,189,188,115,0.762217998406464,0.237782001593536,0.207033689230147,69
"Minnesota",2.61417103519309,5,0.522834207038618,118,152,118,0.645673298859186,0.354326701140814,0.614195459102839,52
"Mississippi State",2.44041852469094,5,0.488083704938187,102,128,131,0.486276964727654,0.513723035272346,-0.00903370105266488,76
"Missouri",2.34039112207264,5,0.468078224414528,84,185,117,0.747607195796445,0.252392804203555,1.39764485690958,27
"Navy",2.37868065769062,5,0.475736131538124,91,161,122,0.65867574869919,0.34132425130081,0.914698085805329,39
"Nebraska",2.59128254025549,5,0.518256508051097,116,185,88,0.853329233760719,0.146670766239281,1.67536362854811,15
"Nevada",5.05671822204352,7,0.722388317434789,191,153,202,0.341086407057757,0.658913592942243,-2.66911337263922,127
"New Mexico",3.44638450300349,5,0.689276900600697,183,176,180,0.486687979608238,0.513312020391762,-1.0129446049623,105
"New Mexico State",3.11045058661149,5,0.622090117322297,166,139,214,0.264509601555027,0.735490398444973,-1.78790257883635,121
"North Carolina",2.87774221475956,6,0.479623702459927,92,205,189,0.548000029166424,0.451999970833576,0.410257960238985,61
"North Carolina State",2.90584507571235,5,0.58116901514247,148,170,88,0.826432840527704,0.173567159472296,1.22631912692617,29
"North Texas",4.23602340662851,6,0.706003901104752,187,155,172,0.43864960242246,0.56135039757754,-1.60412579209375,117
"Northern Illinois",1.89515971639637,6,0.315859952732729,28,163,227,0.313255413778263,0.686744586221737,-0.0156272337267946,78
"Northwestern",1.18252251396754,5,0.236504502793508,14,103,99,0.523451195340668,0.476548804659332,1.4347334627358,25
"Notre Dame",3.17491714007881,6,0.529152856679801,123,202,177,0.577646531195952,0.422353468804048,0.290962047096905,67
"Ohio",4.37399195354085,6,0.728998658923476,193,194,156,0.62636762503219,0.37363237496781,-0.615786203347715,96
"Ohio State",2.42931461028362,5,0.485862922056725,96,266,54,0.977664605650851,0.0223353943491491,2.45900841797063,6
"Oklahoma",1.68283348747884,5,0.336566697495769,34,203,181,0.567549525761712,0.432450474238288,1.15491414132972,32
"Oklahoma State",3.17072088539462,6,0.528453480899103,122,244,172,0.696085647689255,0.303914352310745,1.00579300074091,38
"Old Dominion",3.49971146773585,6,0.583285244622642,149,204,153,0.66414177276322,0.33585822723678,0.485139168843472,58
"Ole Miss",1.81610733027156,5,0.363221466054312,41,208,148,0.691378571772858,0.308621428227142,1.64078552859273,18
"Oregon",1.8720030333951,6,0.312000505565851,26,221,251,0.425147366918127,0.574852633081873,0.678881168113657,51
"Oregon State",2.19635179504893,5,0.439270359009786,71,137,166,0.388159268638259,0.611840731361741,-0.255555451857633,85
"Penn State",2.1986197060624,6,0.366436617677066,44,183,171,0.540098589200216,0.459901410799784,1.0419718291389,37
"Pittsburgh",3.34943521516942,6,0.558239202528237,136,224,189,0.599326757821071,0.400673242178929,0.246525331757002,68
"Purdue",3.50980708056369,5,0.701961416112738,186,130,157,0.390015774537957,0.609984225462043,-1.55972820787391,115
"Rice",2.35508409391806,5,0.471016818783613,85,101,201,0.163693827007477,0.836306172992523,-1.53661495888068,112
"Rutgers",2.11810422289992,6,0.353017370483319,38,109,240,0.133470026563299,0.866529973436701,-1.31728406352012,110
"San Diego State",3.34416918781793,5,0.668833837563586,180,168,117,0.702126022779251,0.297873977220749,0.166460926078327,72
"San Jose State",3.74223383665053,6,0.623705639441755,168,161,240,0.279652514138599,0.720347485861401,-2.06431875181894,124
"SMU",2.95793000132622,6,0.492988333554371,106,139,196,0.306947608460401,0.693052391539599,-1.11624435056382,108
"South Alabama",2.43269090038782,5,0.486538180077564,97,136,136,0.5,0.5,0.0673090996121779,75
"South Carolina",2.80049874837983,6,0.466749791396638,83,84,121,0.29629830997311,0.70370169002689,-1.02270888854117,106
"South Florida",3.96842783344329,6,0.661404638907215,176,267,154,0.786541265040533,0.213458734959467,0.750819756799905,48
"Southern Miss",4.11804760707838,6,0.686341267846397,182,241,162,0.719375382934268,0.280624617065732,0.198204690527226,71
"Stanford",1.04073237346704,5,0.208146474693408,10,97,122,0.367381936979902,0.632618063020097,0.796177311432472,44
"Syracuse",2.63017907977198,6,0.438363179961996,70,154,216,0.309633738879419,0.690366261120581,-0.772376646495466,101
"TCU",4.00816090545656,6,0.668026817576093,179,241,180,0.66633632161364,0.33366367838636,-0.0101429757747162,77
"Temple",3.42039914155044,6,0.57006652359174,142,198,136,0.708931605504919,0.291068394495081,0.833190491479073,43
"Tennessee",1.47281530617043,6,0.245469217695072,16,203,160,0.637409042468761,0.362590957531239,2.35163894864213,9
"Texas",2.52078019044081,5,0.504156038088162,108,205,198,0.520573574187738,0.479426425812262,0.0820876804978758,74
"Texas A&M",2.64708980561011,6,0.441181634268351,74,241,115,0.852391142469571,0.147608857530429,2.46725704920732,5
"Texas State",2.76132201336391,5,0.552264402672782,132,131,218,0.230225980022549,0.769774019977451,-1.61019211325117,118
"Texas Tech",2.95870216584519,5,0.591740433169038,153,276,193,0.700100043633228,0.299899956366772,0.541798052320949,56
"Toledo",3.32104603297985,5,0.66420920659597,178,216,105,0.846774508231225,0.153225491768775,0.912826508176274,40
"Troy",3.06925581243926,5,0.613851162487853,162,204,97,0.853444881347509,0.146555118652491,1.19796859429828,31
"Tulane",3.03873691752844,5,0.607747383505688,160,155,112,0.683537161242528,0.316462838757472,0.378948888684202,63
"Tulsa",3.18537853487069,5,0.637075706974138,172,197,160,0.620820173381912,0.379179826618088,-0.0812776679611269,79
"UCF",2.88341880045465,5,0.576683760090931,146,176,124,0.696350649690873,0.303649350309126,0.598334447999713,54
"UCLA",2.73635346965287,7,0.390907638521839,53,206,159,0.648798842415917,0.351201157584083,1.80523842725855,14
"UNLV",3.71747916890025,6,0.619579861483375,165,187,178,0.529191865554788,0.470808134445212,-0.542327975571523,91
"USC",1.68503429063714,6,0.280839048439523,20,150,154,0.48441204793818,0.51558795206182,1.22143799699195,30
"Utah",3.54602794960913,6,0.591004658268187,152,168,114,0.714839183260811,0.285160816739189,0.74300714995574,49
"Utah State",3.05123500745879,6,0.508539167909798,110,140,150,0.459212559412742,0.540787440587258,-0.295959650982335,88
"UTEP",3.54119865086308,6,0.590199775143846,151,94,226,0.111148867575706,0.888851132424294,-2.87430544540884,128
"UTSA",2.59829606565591,5,0.519659213131182,117,142,133,0.538718004813295,0.461281995186705,0.0952939584105614,73
"Vanderbilt",2.30182582839303,5,0.460365165678606,80,101,118,0.408858342408765,0.591141657591235,-0.257534116349204,86
"Virginia",1.88795224280863,5,0.377590448561725,47,139,149,0.458930358549467,0.541069641450533,0.406699549938709,62
"Virginia Tech",2.8575947322933,5,0.571518946458659,144,197,78,0.899871076839058,0.100128923160942,1.64176065190199,16
"Wake Forest",3.18904380855573,6,0.531507301425955,125,146,108,0.671394000425168,0.328605999574832,0.839320193995277,42
"Washington",3.33043804008045,6,0.555073006680075,135,297,85,0.950970537616042,0.0490294623839584,2.3753851856158,8
"Washington State",1.47547018751341,5,0.295094037502681,23,219,131,0.771690666557184,0.228309333442816,2.38298314527252,7
"West Virginia",2.06157448381909,4,0.515393620954773,113,116,80,0.706947706527313,0.293052293472688,0.766216342290158,47
"Western Kentucky",2.85524284508223,5,0.571048569016445,143,169,162,0.525043186902082,0.474956813097918,-0.230026910571816,83
"Western Michigan",3.70945911698915,6,0.618243186164858,164,269,123,0.864665009931567,0.135334990068433,1.47853094260026,24
"Wisconsin",1.97391067250387,5,0.394782134500773,55,130,61,0.857329627177602,0.142670372822398,2.31273746338414,10
"Wyoming",3.07293098755803,6,0.512155164593004,111,199,178,0.565694363421277,0.434305636578723,0.321235192969638,65
